query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,26,14,True,0.47208425300000023
2,ming,5,4,True,0.09588462199999981
3,ming,8,7,True,0.3965148109999994
4,ming,2,1,True,0.03690885099999974
5,ming,3,2,True,0.01016527899999975
6,ming,41,14,True,0.49316917499999935
7,ming,7,6,True,0.07932410300000026
8,ming,80,14,True,1.4799685459999994
9,ming,283,3,True,2.441077331999999
10,ming,3,2,True,0.04973581500000002
11,ming,2,1,True,0.033217085000000424
12,ming,2,1,True,0.03242265399999944
13,ming,47,4,True,1.0239952919999986
14,ming,2,1,True,0.03226551400000055
15,ming,3,2,True,0.013340631000000158
16,ming,2,1,True,0.03159845499999925
17,ming,3,2,True,0.01799305399999973
18,ming,794652,6,True,70.406481938
19,ming,2,1,True,0.040880655999998794
20,ming,408,6,True,1.3863844269999959
21,ming,45,14,True,0.22243485799999974
22,ming,3,2,True,0.007374081999998339
23,ming,2,1,True,0.03205219699999873
24,ming,2,1,True,8.219000000053711e-05
25,ming,2,1,True,0.03459192200000416
26,ming,2,1,True,0.005714118999989637
27,ming,3,2,True,0.025186886000000186
28,ming,5,4,True,0.062063769999994634
29,ming,2,1,True,8.977400000276248e-05
30,ming,61,4,True,0.4132762200000002
31,ming,2,1,True,0.03209731500000146
32,ming,3,2,True,0.013949162999992382
33,ming,19,3,True,1.300761222999995
34,ming,5,4,True,0.03781297199999756
35,ming,62,14,True,0.5199625799999978
36,ming,2,1,True,9.2683999994847e-05
37,ming,2,1,True,0.03232861399999365
38,ming,47,4,True,0.07044376500000737
39,ming,4,3,True,0.048111981000005244
40,ming,2,1,True,0.0424651170000061
41,ming,47,4,True,0.02944442999999808
42,ming,47,4,True,0.008713193999994928
43,ming,2,1,True,0.04451516199999617
44,ming,3,2,True,0.008677400999999918
45,ming,2,1,True,7.619299999817031e-05
46,ming,47,4,True,0.1064969969999936
47,ming,2,1,True,8.377999999709118e-05
48,ming,2,1,True,0.028749243999996565
49,ming,4,3,True,0.052548688000001675
50,ming,7,6,True,0.00249572599999226
51,ming,11,10,True,0.13726377700000114
52,ming,2,1,True,0.03613179699999591
53,ming,3,2,True,0.011779993000004652
54,ming,2,1,True,0.04021408899998846
55,ming,3,2,True,0.012661390000005213
56,ming,2,1,True,0.00010036900000898186
57,ming,3,2,True,0.015679990000009525
58,ming,2,1,True,0.0001184620000032055
59,ming,2,1,True,6.365299999799845e-05
60,ming,5,4,True,0.037177601999999865
61,ming,2,1,True,9.171899999671496e-05
62,ming,2,1,True,0.03703659299999629
63,ming,2,1,True,9.80840000011085e-05
64,ming,4,3,True,0.10024741000000859
65,ming,6,5,True,0.0691660970000072
66,ming,2,1,True,8.5897000005275e-05
67,ming,4,3,True,0.040645244999993224
68,ming,3,2,True,0.01782543400000236
69,ming,2,1,True,0.00013702900000112095
70,ming,218,3,True,2.2212073989999936
71,ming,8,7,True,0.020935923999999773
72,ming,3,2,True,0.020820721999996294
73,ming,2,1,True,0.04100705700000162
74,ming,2,1,True,7.954200000881428e-05
75,ming,2,1,True,6.290199999625656e-05
76,ming,52,14,True,0.15335041100000524
77,ming,2,1,True,8.909600001061335e-05
78,ming,3,2,True,0.007320117000006121
79,ming,2,1,True,6.414499999607415e-05
80,ming,4,3,True,0.02261855300000093
81,ming,27,15,True,0.1942634250000026
82,ming,2,1,True,0.044276811000003136
83,ming,2,1,True,0.00013030699999205808
84,ming,5,4,True,0.03502344000000335
85,ming,2,1,True,8.712199999649783e-05
86,ming,2,1,True,0.041716027999996186
87,ming,4,3,True,0.09830188799999462
88,ming,4,3,True,0.035254930999997214
89,ming,2,1,True,0.039627419000012765
90,ming,2,1,True,8.968699999911678e-05
91,ming,2,1,True,0.0018211669999885771
92,ming,5,4,True,0.027075726999996164
93,ming,2,1,True,0.0024528479999901265
94,ming,2,1,True,0.00012535499999444255
95,ming,4,3,True,0.003248794999990423
96,ming,2,1,True,0.033078148000001306
97,ming,7,6,True,0.013207237000003147
98,ming,47,4,True,0.03399871899999596
99,ming,2,1,True,0.04987705499999606
100,ming,20,15,True,0.13632071799999324
