query,std reasoner,std nodes explored,std min depth,success,time
1,std,5435,13,True,0.21681901100000012
2,std,15,4,True,0.0027047969999998145
3,std,39103,7,True,1.8564226539999993
4,std,2,1,True,0.00022828199999835874
5,std,3,2,True,0.00029490500000051156
6,std,954,15,True,0.030171371999999863
7,std,10,9,True,0.001490260999998938
8,std,188,13,True,0.005911955999998497
9,std,16,3,True,0.0033200630000003173
10,std,3,2,True,0.0004470479999998389
11,std,2,1,True,0.0001826180000001898
12,std,2,1,True,0.00021323100000003592
13,std,5782,14,True,0.18977917099999964
14,std,2,1,True,0.0002435759999990239
15,std,3,2,True,0.0004949639999995981
16,std,2,1,True,0.00020956000000005304
17,std,11544,2,True,0.3766748230000001
18,std,141715,14,True,4.381892480999998
19,std,2,1,True,0.0002588410000008423
20,std,92802,6,True,3.242586466999999
21,std,1679,14,True,0.04494170099999906
22,std,9375,14,True,0.288717793
23,std,2,1,True,0.00024839299999968034
24,std,2,1,True,0.00020766200000110757
25,std,2,1,True,0.00018570800000006216
26,std,2,1,True,0.0002152899999998681
27,std,3,2,True,0.0006115049999984024
28,std,5,4,True,0.0006714419999980237
29,std,2,1,True,5.558399999827657e-05
30,std,5782,14,True,0.1644596120000017
31,std,2,1,True,0.00024021399999796245
32,std,3,2,True,0.0004249700000009682
33,std,4,3,True,0.0005414859999994803
34,std,5,4,True,0.0007212019999975894
35,std,1677,15,True,0.05308957599999786
36,std,2,1,True,7.361999999844215e-05
37,std,2,1,True,0.00020410799999837081
38,std,5782,14,True,0.17580385999999848
39,std,4,3,True,0.0006080259999983184
40,std,2,1,True,0.00023905999999840333
41,std,5782,14,True,0.17588920800000096
42,std,5782,14,True,0.1730529749999974
43,std,2,1,True,0.0003411450000001537
44,std,3,2,True,0.0006385150000021156
45,std,2,1,True,5.7952999998889254e-05
46,std,5782,14,True,0.16920235199999922
47,std,2,1,True,7.187199999947325e-05
48,std,2,1,True,0.0002090110000025902
49,std,13,3,True,0.0027223680000005857
50,std,68064,15,True,1.979548329
51,std,41755,15,True,1.5120146870000006
52,std,2,1,True,0.0002544059999998183
53,std,3,2,True,0.0005819560000013269
54,std,2,1,True,0.00019034600000011892
55,std,3,2,True,0.00029920100000069283
56,std,2,1,True,0.00020799800000048663
57,std,3,2,True,0.0005329899999999554
58,std,2,1,True,4.821799999987775e-05
59,std,2,1,True,4.0178000002555336e-05
60,std,7,4,True,0.0011151460000000668
61,std,2,1,True,5.096800000004009e-05
62,std,2,1,True,0.00020621000000176082
63,std,2,1,True,4.3438000002282706e-05
64,std,19,3,True,0.0036628030000009915
65,std,6,5,True,0.0010941049999999564
66,std,2,1,True,5.396699999948851e-05
67,std,94750,3,True,3.6090654340000015
68,std,13,2,True,0.0024356019999984824
69,std,2,1,True,5.181599999914965e-05
70,std,72689,4,True,2.151280216
71,std,226214,13,True,6.671975412999998
72,std,25987,2,True,0.7631592070000011
73,std,2,1,True,0.00028979800000428213
74,std,2,1,True,5.068900000537724e-05
75,std,2,1,True,4.743399999540543e-05
76,std,9376,15,True,0.3367280920000013
77,std,2,1,True,7.752099999436268e-05
78,std,9375,14,True,0.31018794700000285
79,std,2,1,True,0.00011082199999634668
80,std,4,3,True,0.0012584179999990397
81,std,1118,13,True,0.040103026999993574
82,std,2,1,True,0.0003035199999956717
83,std,2,1,True,5.046300000088877e-05
84,std,8,7,True,0.00039708300000285135
85,std,2,1,True,4.944900000225516e-05
86,std,2,1,True,0.00022159899999962818
87,std,247973,3,True,7.244550543000003
88,std,4,3,True,0.000789410999999518
89,std,2,1,True,0.0002466410000039332
90,std,2,1,True,0.0002429890000001933
91,std,2,1,True,0.00019836199999900828
92,std,31,8,True,0.004377022999996427
93,std,2,1,True,0.00027453599999915923
94,std,2,1,True,4.919999999941638e-05
95,std,4,3,True,0.00033523600000506804
96,std,2,1,True,0.00018824599999334168
97,std,636726,15,True,18.206719655999997
98,std,5782,14,True,0.1715626139999955
99,std,2,1,True,0.00031859399999945026
100,std,16704,15,True,0.5390200119999946
