query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.001243763999999814
2,std,19,3,True,0.003060290999998827
3,std,28,3,True,0.005291723000000914
4,std,2,1,True,0.00033359499999896514
5,std,2,1,True,0.0003056420000007165
6,std,3,2,True,0.0013097000000001913
7,std,3,2,True,0.0009745900000002194
8,std,2,1,True,0.0002479219999997895
9,std,3,2,True,0.0013073850000004938
10,std,2,1,True,0.00030732100000108176
11,std,2,1,True,0.0003178710000000251
12,std,3,2,True,0.0013096519999997724
13,std,2,1,True,0.00031196000000122126
14,std,1000000,0,False,78.02241713
15,std,26,3,True,0.004947350999998434
16,std,7,6,True,0.002704790999999318
17,std,3,2,True,0.0006082880000093382
18,std,4,3,True,0.002565379999992956
19,std,3,2,True,0.001070167000008837
20,std,3,2,True,0.0008638099999984661
21,std,46,7,True,0.012114800000006198
22,std,2,1,True,0.00041022399999235404
23,std,3,2,True,0.0009469620000004397
24,std,8,6,True,0.004351266000000464
25,std,2,1,True,0.00031615400000362115
26,std,19,4,True,0.006112659999999437
27,std,4,3,True,0.0011357169999968164
28,std,3,2,True,0.0010186110000063309
29,std,3,2,True,0.0010628450000069734
30,std,4,2,True,0.001262764000003358
31,std,2,1,True,0.0003247949999973798
32,std,2,1,True,5.263100000263421e-05
33,std,8,5,True,0.002527845000003026
34,std,2,1,True,0.00035730399999067686
35,std,3,2,True,0.0009383160000027146
36,std,8,4,True,0.0031203870000098277
37,std,3,2,True,0.0010418900000104259
38,std,4,2,True,0.0010442659999938542
39,std,2,1,True,0.00036002699999926335
40,std,2,1,True,0.00028583300000661893
41,std,2,1,True,0.0002798179999956574
42,std,3,2,True,0.0005575870000029681
43,std,2,1,True,4.95840000098724e-05
44,std,2,1,True,4.581800000380554e-05
45,std,2,1,True,4.9081000000228414e-05
46,std,3,2,True,0.0010801939999964816
47,std,6,5,True,0.004624970999998368
48,std,3,2,True,0.0007308570000077452
49,std,2,1,True,0.00029825000000016644
50,std,3,2,True,0.0007120740000061687
51,std,2,1,True,0.0002915849999993725
52,std,23,5,True,0.025105253000006655
53,std,2,1,True,0.0004115929999954915
54,std,1000000,0,False,89.279758748
55,std,2,1,True,8.868400001915688e-05
56,std,3,2,True,0.0012864449999767658
57,std,3,2,True,0.0011162829999875612
58,std,2,1,True,0.0003296539999837478
59,std,2,1,True,4.61380000160716e-05
60,std,2,1,True,4.355499999064705e-05
61,std,7,2,True,0.0015603360000113753
62,std,5,4,True,0.006181901999980255
63,std,3,2,True,0.0015151020000132576
64,std,2,1,True,5.6664999988242926e-05
65,std,42,3,True,0.014993140999990828
66,std,15,3,True,0.0022177929999998014
67,std,98,4,True,0.0225890940000113
68,std,2,1,True,0.0004024549999996907
69,std,4,3,True,0.0013434020000033797
70,std,3,2,True,0.0005118039999842949
71,std,2,1,True,4.63879999870187e-05
72,std,2,1,True,0.0003442500000119253
73,std,3,2,True,0.0010352850000003855
74,std,35,4,True,0.013560449000010522
75,std,2,1,True,5.820699999503631e-05
76,std,3,2,True,0.0007665010000152961
77,std,6,5,True,0.0017776139999909901
78,std,3,2,True,0.0010283099999810474
79,std,139,6,True,0.07544220200000495
80,std,3,2,True,0.0009352680000063174
81,std,4,3,True,0.0011044559999788817
82,std,2,1,True,4.9177000022382344e-05
83,std,3,2,True,0.0005160720000105812
84,std,2,1,True,0.0003229439999756778
85,std,3,2,True,0.0008064039999737815
86,std,4,3,True,0.0008135459999891737
87,std,2,1,True,5.4737999988674346e-05
88,std,3,2,True,0.0009336139999902571
89,std,1000000,0,False,80.63064746900002
90,std,3,2,True,0.0007206259999747999
91,std,4,2,True,0.0010365640000031817
92,std,3,2,True,0.0008271440000271468
93,std,3,2,True,0.0007642300000156865
94,std,2,1,True,5.458499998667321e-05
95,std,2,1,True,4.960699999401186e-05
96,std,59,7,True,0.012798739999993813
97,std,3,2,True,0.000940239999977166
98,std,1000000,0,False,82.506446245
99,std,4,2,True,0.0011758530000065548
100,std,4,3,True,0.0012265650000244932
