query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,5,4,True,0.16038596599999977
2,ming,5,4,True,0.19700379600000062
3,ming,38,14,True,1.6754994019999998
4,ming,2,1,True,0.0726937190000001
5,ming,3,2,True,0.02500037899999974
6,ming,5,4,True,0.05022878199999958
7,ming,8,7,True,0.22927777399999982
8,ming,249,14,True,5.820344651999999
9,ming,4,3,True,0.12370627800000022
10,ming,3,2,True,0.11936853099999922
11,ming,2,1,True,0.07611294700000215
12,ming,2,1,True,0.07749531400000009
13,ming,40,14,True,0.5468923319999988
14,ming,2,1,True,0.06984046900000251
15,ming,3,2,True,0.03387745999999936
16,ming,2,1,True,0.06844149300000169
17,ming,32,2,True,1.0674217749999997
18,ming,1000000,0,False,78.50521161500001
19,ming,2,1,True,0.0907558300000062
20,ming,356,6,True,5.192473998000011
21,ming,20,15,True,0.3882461460000002
22,ming,25,14,True,0.5593902619999938
23,ming,2,1,True,0.07368761399999357
24,ming,2,1,True,8.584100000064154e-05
25,ming,2,1,True,0.07347249499999009
26,ming,2,1,True,0.012838365999996881
27,ming,3,2,True,0.05770289099999104
28,ming,5,4,True,0.2215173600000071
29,ming,2,1,True,9.223499999677642e-05
30,ming,40,14,True,0.2418576580000007
31,ming,2,1,True,0.06648102300000858
32,ming,3,2,True,0.02876546699999949
33,ming,4,3,True,0.0868002249999904
34,ming,5,4,True,0.1232003120000087
35,ming,37,14,True,0.9283214320000042
36,ming,2,1,True,8.671700000206783e-05
37,ming,2,1,True,0.07384142700000496
38,ming,75,4,True,2.2850641750000023
39,ming,4,3,True,0.08644184100000984
40,ming,2,1,True,0.09893212600000822
41,ming,40,14,True,0.07110654299999908
42,ming,40,14,True,0.015039987000008637
43,ming,2,1,True,0.09824774299998751
44,ming,3,2,True,0.02452401799999393
45,ming,2,1,True,8.789099999262362e-05
46,ming,40,14,True,0.2487996939999988
47,ming,2,1,True,9.017400000743692e-05
48,ming,2,1,True,0.07023525299999278
49,ming,4,3,True,0.1353246240000061
50,ming,1398,14,True,5.391084581999991
51,ming,224,14,True,1.3231498690000052
52,ming,2,1,True,0.07556077799999628
53,ming,3,2,True,0.03179380599999604
54,ming,2,1,True,0.0686142870000026
55,ming,3,2,True,0.025245366000007152
56,ming,2,1,True,8.725300000378411e-05
57,ming,3,2,True,0.03134837799998991
58,ming,2,1,True,7.709400000521782e-05
59,ming,2,1,True,5.793500000095264e-05
60,ming,5,4,True,0.124387107000004
61,ming,2,1,True,9.183800000300835e-05
62,ming,2,1,True,0.0728998629999893
63,ming,2,1,True,7.382500000119308e-05
64,ming,4,3,True,0.21403370500000563
65,ming,6,5,True,0.22566229299999918
66,ming,2,1,True,8.566399999665464e-05
67,ming,4,3,True,0.09258517600000005
68,ming,3,2,True,0.04086937000001001
69,ming,2,1,True,8.123700000339795e-05
70,ming,123,3,True,3.4202272849999957
71,ming,10,9,True,0.28094448500000624
72,ming,3,2,True,0.043210305000002336
73,ming,2,1,True,0.08830621600000654
74,ming,2,1,True,9.214199999973971e-05
75,ming,2,1,True,6.16989999997486e-05
76,ming,25,14,True,0.3572326660000016
77,ming,2,1,True,8.82510000081993e-05
78,ming,25,14,True,0.08793050399999913
79,ming,2,1,True,7.790899999804424e-05
80,ming,4,3,True,0.053986163000004694
81,ming,8,7,True,0.4550707340000031
82,ming,2,1,True,0.09087605599999904
83,ming,2,1,True,8.105000000568907e-05
84,ming,6,5,True,0.08265901000000042
85,ming,2,1,True,7.657000000449443e-05
86,ming,2,1,True,0.09075908100000163
87,ming,595,3,True,13.155364669000008
88,ming,4,3,True,0.05799505000001659
89,ming,2,1,True,0.08651277199999186
90,ming,2,1,True,7.695100001114952e-05
91,ming,2,1,True,0.004557981000004929
92,ming,5,4,True,0.0732050240000035
93,ming,2,1,True,0.00850760300002662
94,ming,2,1,True,7.125700000187862e-05
95,ming,4,3,True,0.05764858099999515
96,ming,2,1,True,0.06836535499999741
97,ming,9,8,True,0.12682766099999299
98,ming,40,14,True,0.06434156100002042
99,ming,2,1,True,0.09207622900001411
100,ming,20,15,True,0.05056026200000474
